name,dim,exec_time_nanos,first_found_time_nanos,solutions,entries
LatinSquareFC,429,13010,13010,0,1
LatinSquareFC,430,9685,9685,0,1
LatinSquareFC,431,10104,10104,0,1
LatinSquareFC,432,11198,11198,0,1
LatinSquareFC,433,12941,12941,0,1
LatinSquareFC,434,8052,8052,0,1
LatinSquareFC,435,8433,8433,0,1
LatinSquareFC,436,8028,8028,0,1
LatinSquareFC,437,16232,16232,0,1
LatinSquareFC,438,8138,8138,0,1
LatinSquareFC,439,8476,8476,0,1
LatinSquareFC,440,7822,7822,0,1
LatinSquareFC,441,8341,8341,0,1
LatinSquareFC,442,11995,11995,0,1
LatinSquareFC,443,11273,11273,0,1
LatinSquareFC,444,11926,11926,0,1
LatinSquareFC,445,8727,8727,0,1
LatinSquareFC,446,8231,8231,0,1
LatinSquareFC,447,8403,8403,0,1
LatinSquareFC,448,8374,8374,0,1
LatinSquareFC,449,8167,8167,0,1
LatinSquareFC,450,8807,8807,0,1
LatinSquareFC,451,8028,8028,0,1
LatinSquareFC,452,8554,8554,0,1
LatinSquareFC,453,7886,7886,0,1
LatinSquareFC,454,7882,7882,0,1
LatinSquareFC,455,15366,15366,0,1
LatinSquareFC,456,10564,10564,0,1
LatinSquareFC,457,11186,11186,0,1
LatinSquareFC,458,8354,8354,0,1
LatinSquareFC,459,8874,8874,0,1
LatinSquareFC,460,8607,8607,0,1
LatinSquareFC,461,8186,8186,0,1
LatinSquareFC,462,8397,8397,0,1
LatinSquareFC,463,8023,8023,0,1
LatinSquareFC,464,8223,8223,0,1
LatinSquareFC,465,8158,8158,0,1
LatinSquareFC,466,8250,8250,0,1
LatinSquareFC,467,17517,17517,0,1
LatinSquareFC,468,10785,10785,0,1
LatinSquareFC,469,8890,8890,0,1
LatinSquareFC,470,9352,9352,0,1
LatinSquareFC,471,10264,10264,0,1
LatinSquareFC,472,9344,9344,0,1
LatinSquareFC,473,8701,8701,0,1
LatinSquareFC,474,16318,16318,0,1
LatinSquareFC,475,8686,8686,0,1
LatinSquareFC,476,8724,8724,0,1
LatinSquareFC,477,9017,9017,0,1
LatinSquareFC,478,9196,9196,0,1
LatinSquareFC,479,8791,8791,0,1
LatinSquareFC,480,8728,8728,0,1
LatinSquareFC,481,12798,12798,0,1
LatinSquareFC,482,11818,11818,0,1
LatinSquareFC,483,11196,11196,0,1
LatinSquareFC,484,11586,11586,0,1
LatinSquareFC,485,9423,9423,0,1
LatinSquareFC,486,8717,8717,0,1
LatinSquareFC,487,8936,8936,0,1
LatinSquareFC,488,9082,9082,0,1
LatinSquareFC,489,8835,8835,0,1
LatinSquareFC,490,12490,12490,0,1
LatinSquareFC,491,8810,8810,0,1
LatinSquareFC,492,8815,8815,0,1
LatinSquareFC,493,8867,8867,0,1
LatinSquareFC,494,8717,8717,0,1
LatinSquareFC,495,12721,12721,0,1
LatinSquareFC,496,9948,9948,0,1
LatinSquareFC,497,9326,9326,0,1
LatinSquareFC,498,8905,8905,0,1
LatinSquareFC,499,9234,9234,0,1
LatinSquareFC,500,9083,9083,0,1
