name,dim,exec_time_nanos,first_found_time_nanos,solutions,entries
LatinSquareFC,458,9018,9018,0,1
LatinSquareFC,459,9358,9358,0,1
LatinSquareFC,460,8285,8285,0,1
LatinSquareFC,461,8292,8292,0,1
LatinSquareFC,462,25334,25334,0,1
LatinSquareFC,463,10997,10997,0,1
LatinSquareFC,464,9495,9495,0,1
LatinSquareFC,465,8352,8352,0,1
LatinSquareFC,466,9045,9045,0,1
LatinSquareFC,467,8251,8251,0,1
LatinSquareFC,468,8841,8841,0,1
LatinSquareFC,469,8677,8677,0,1
LatinSquareFC,470,12005,12005,0,1
LatinSquareFC,471,8378,8378,0,1
LatinSquareFC,472,8600,8600,0,1
LatinSquareFC,473,9157,9157,0,1
LatinSquareFC,474,9101,9101,0,1
LatinSquareFC,475,8649,8649,0,1
LatinSquareFC,476,8417,8417,0,1
LatinSquareFC,477,11353,11353,0,1
LatinSquareFC,478,15280,15280,0,1
LatinSquareFC,479,13342,13342,0,1
LatinSquareFC,480,9312,9312,0,1
LatinSquareFC,481,9339,9339,0,1
LatinSquareFC,482,9192,9192,0,1
LatinSquareFC,483,9352,9352,0,1
LatinSquareFC,484,8980,8980,0,1
LatinSquareFC,485,8725,8725,0,1
LatinSquareFC,486,9886,9886,0,1
LatinSquareFC,487,9240,9240,0,1
LatinSquareFC,488,10238,10238,0,1
LatinSquareFC,489,9230,9230,0,1
LatinSquareFC,490,19430,19430,0,1
LatinSquareFC,491,11736,11736,0,1
LatinSquareFC,492,12691,12691,0,1
LatinSquareFC,493,9049,9049,0,1
LatinSquareFC,494,10582,10582,0,1
LatinSquareFC,495,8939,8939,0,1
LatinSquareFC,496,16416,16416,0,1
LatinSquareFC,497,12303,12303,0,1
LatinSquareFC,498,10708,10708,0,1
LatinSquareFC,499,9234,9234,0,1
LatinSquareFC,500,9151,9151,0,1
